id,date,time,author_id,author,text,link
38,2025/4/9（週三） 21:45,21:45,515,515-0725565ycc,四月小作文-淘帝2929,https://docs.google.com/document/d/1XnMcKMs6a4sLSfTsiJoxVYgGDvVWfIEdMP_n6nMjZ7M/edit?usp=drivesdk
39,2025/4/9（週三） 21:45,21:45,516,516-0724825EJAY,四月小作文-鉅亨2022,https://drive.google.com/file/d/1_OKncCD5QY6LEzFCmc7Oe3teR5JDbZQ4/view?usp=drivesdk
40,2025/4/9（週三） 22:34,22:34,514,514-0724883Ryan,四月小作文-昇揚半導體 8028,https://docs.google.com/document/d/1kyxhxr7-2jmowMgsmEJdLKhngxt0nZD0xbDDmaZRj8g/edit?usp=sharing
41,2025/4/10（週四） 16:46,16:46,436,436-0489908偷筆,四月小作文-櫻花建2539(更),https://docs.google.com/document/d/1Qmrc-3c456VJ7YVbDAJwYWz6Ph7VwZuTsjOApRdg_0c/edit?tab=t.0
42,2025/4/10（週四） 18:16,18:16,412,412-0432269 Abby,三月小作文-永豐金2890,https://reurl.cc/AMA8ze
43,2025/4/10（週四） 19:27,19:27,517,517-0726218HK,四月小作文-中租-ky(5871),https://docs.google.com/document/d/1a9Pgcy8YZr3yFXHYoR8k9OcMSY2H-7dZALSUSnozU1Q/edit?usp=drivesdk
44,2025/4/10（週四） 19:48,19:48,519,519-0725280 Benson,四月小作文-華碩2357,https://docs.google.com/document/d/1O-XM9aBfAcevbodAawNpz7sRrszRJ1Jj/edit?usp=drive_link&ouid=114185884775362699727&rtpof=true&sd=true
45,2025/4/10（週四） 20:06,20:06,437,⚡️⭐ 437-0548182林大大,小作文 - 擎亞（8096）,https://docs.google.com/document/d/1e-DikiETq9K3WLHUBXPvG-KTvUEwuDnX/edit?usp=sharing&ouid=102413103344657402164&rtpof=true&sd=true
46,2025/4/10（週四） 20:53,20:53,520,520-0725769森森,小作文-華新 3056,https://drive.google.com/file/d/10qxHwNG57_7aBdFhTWUJp7pjhQefhjlJ/view?usp=sharing
47,2025/4/10（週四） 21:16,21:16,518,518-0501022豆腐,四月小作文-廣宇2328,https://docs.google.com/document/d/e/2PACX-1vRuAoRT4ZlM18ilZTL-mO9Y0N-d1AVKabMWzewduTTa59FHLez-t9iejikEjzOE9SQtjyT8ulbF3f56/pub
48,2025/4/10（週四） 22:13,22:13,510,510-0726629小平,,https://docs.google.com/document/d/1uYusCHIcwS3VqWNSzmQfR6-8J1lO95u_6JaRPr8Qlk4/edit?usp=drivesdk
49,2025/4/10（週四） 22:41,22:41,460,460-0544474 Monson,三月小作文-,https://drive.google.com/file/d/1rFgcCf4TM6ree4HgYKrlQ5YqlLCd-ayT/view?usp=sharing
50,2025/4/10（週四） 22:55,22:55,466,466-0431600見龍於田,三月小作文-AVGO(博通),https://docs.google.com/document/d/1LVKu1TlKxqK0igGj5BnCMr4NqIAVgY3W1SCoiCb7OrY/edit?usp=sharing
51,2025/4/11（週五） 00:52,00:52,429,429-0531924三毛,四月小作文-全譜6228,https://docs.google.com/document/d/1bK1U-842X4WNIoK3f2HiAaDvViOFAQJx/edit?usp=sharing&ouid=104235377859924673226&rtpof=true&sd=true
52,2025/4/11（週五） 16:18,16:18,521,521-0726674 TSEN,四月小作文-燁輝2023,https://docs.google.com/document/d/1iAlkK2AiaCMNcA7Rr7xXEMpEH57xWHsf/edit?usp=drive_link&ouid=113232883362994201272&rtpof=true&sd=true
53,2025/4/11（週五） 16:21,16:21,523,523-0725002 Eason,四月小作文-青松健康6931,https://docs.google.com/document/d/1I5TnkB2pSCClVXbszcqy4fRJ0c7HWbE1/edit?usp=sharing&ouid=107307769969375441225&rtpof=true&sd=true
54,2025/4/11（週五） 16:48,16:48,524,524-0727783馬伕傑,四月小作文-TSLA,https://docs.google.com/document/d/1ob_SP1TUYTO_fky0OvMajflAH5frSl88UA9qvPbfKBo/edit?usp=drive_link
55,2025/4/11（週五） 17:14,17:14,522,522-0727110Hsin,四月小作文-材料-KY (4763),https://docs.google.com/document/d/1Xszl9z6MqstNjXIoilVYl6J_yoz7wdCu/edit?usp=drivesdk&ouid=104280978726469480618&rtpof=true&sd=true
56,2025/4/11（週五） 18:32,18:32,127,127-0398125 Gerald,特斯拉我會聽這位的日報,https://youtube.com/@dayuliaodiandong?si=gXBbx7JTHf-lskXx
57,2025/4/12（週六） 18:00,18:00,510,510-0726629小平,,https://docs.google.com/document/d/1zIsEMSW95VS8mdCo2vSgJnkePLmY-ghkj27oO-6vlII/edit?usp=drivesdk
58,2025/4/13（週日） 01:25,01:25,456,456-0666860-9tsai,3月小作文-2048南亞科,https://docs.google.com/document/d/1kngLZj9nH4TcD9vX4NPLA6zSwRA683YA/edit?usp=sharing&ouid=112149899970104848688&rtpof=true&sd=true
59,2025/4/13（週日） 12:45,12:45,527,527-0726894耀,四月小作文-聯發科2454,https://docs.google.com/file/d/1IGhRXj0gn9s1EhUynYD7xvCUlEf9SFYQ/edit?usp=docslist_api&filetype=msword
60,2025/4/13（週日） 15:06,15:06,499,499-0707318 開心北極熊,2504小作文-利用台指選擇權避險,https://docs.google.com/document/d/1YAQXlEDxwzcJMxHTddeEzShgD889zw7vzV8M_FGW9AQ/edit?usp=drivesdk
61,2025/4/13（週日） 16:46,16:46,046,046-0406114 JOY88,水資源國統小作文(AI輔助撰寫),https://docs.google.com/document/d/1ZWY5NgS2roeOMlxbJ8WsbUG1fj9jZ6gebmNOWf_ebhs/edit?usp=sharing
62,2025/4/13（週日） 18:36,18:36,528,528-0434571荒唐信,四月小作文-台積電2330,https://docs.google.com/document/d/15S7eFY737EmB4077Df3drgMwP0UgHNnzXgv37efTh5I/edit?usp=sharing
63,2025/4/13（週日） 21:53,21:53,201,201-0393638 Morgan,四月小作文-永道6863,https://docs.google.com/document/d/1DF1AKm9GGbFfSjkYmzFQNyqS3Zi4Rh8l/edit?usp=sharing&ouid=100384215663946706910&rtpof=true&sd=true
64,2025/4/14（週一） 14:53,14:53,449,449-0522027冷萃綠茶,,https://docs.google.com/document/d/16-9uUscTowmgaxeqEvkdgjflpuDACcSCdc4Jo60gQrw/edit?usp=drivesdk
65,2025/4/14（週一） 16:00,16:00,529,529-0729189 書蟲,四月小作文-世紀*5314,https://drive.google.com/file/d/1-psCAvXMJ8COJEt8nUFNt_9XyUnxldpX/view?usp=sharing
66,2025/4/14（週一） 16:01,16:01,531,531-0606228 QD,四月小作文-聯發科2454,https://drive.google.com/file/d/1YGZ51Fg6Zou3zh6q79SSXaGkDP-bg9KG/view?usp=sharing
67,2025/4/14（週一） 20:59,20:59,532,532-0733492熊,2504小作文 - 台指開盤多空操作策略分享,https://docs.google.com/document/d/11cUqr3qe4zbv-mgXrYOHOv6UowbXLPuqVoDsYObWzus/edit?tab=t.0
68,2025/4/14（週一） 22:20,22:20,510,510-0726629小平,,https://docs.google.com/document/d/1xeZbyxQdCnsjb4L5mxz5E2SnvMcKCuhE3q2YKsPvrv0/edit?usp=drivesdk
69,2025/4/14（週一） 23:27,23:27,478,478-0541613 WL,,https://docs.google.com/document/d/12IavRucKUjhwbYg2W2OYfbt2OuU7VgAx/edit?usp=share_link&ouid=109439436558587204793&rtpof=true&sd=true
70,2025/4/14（週一） 23:35,23:35,478,478-0541613 WL,,https://docs.google.com/spreadsheets/d/1VUvb7n7et9L9BjLJfn7VolgUhnpaB_Rd/edit?usp=share_link&ouid=109439436558587204793&rtpof=true&sd=true
71,2025/4/15（週二） 12:13,12:13,520,520-0725769森森,,https://www.jwcpas.com.tw/publicationsBook3-show2.php?book3p_id=450
72,2025/4/15（週二） 14:22,14:22,533,📊⭐️533-0525286 MT,四月小作文--利華1423,https://docs.google.com/document/d/15lKUtzWyDvpYBln-DnpuL4PVAyV9NgsPK49zYFGO_LY/edit?usp=sharing
73,2025/4/15（週二） 14:27,14:27,534,534-0735759 GB3000,四月小作文-佳必琪6197,https://drive.google.com/file/d/1hDaxCve3AoGxKhuq-3OCct0JIktM9oEG/view?usp=sharing
74,2025/4/15（週二） 15:50,15:50,536,536-0723583SC,四月小作文-順達3211,https://drive.google.com/file/d/1xC6nttQ2uK9bhWpv_Bd2e0agpPIdvs-Y/view?usp=drive_link
75,2025/4/15（週二） 16:56,16:56,535,535-0724553空格 王玉1個億,四月小作文-工信5521,https://docs.google.com/document/d/1Wg4ly0fHaX8QwVEUutfIMIEfxlmm60Av/edit?usp=drivesdk&ouid=108855551660568832776&rtpof=true&sd=true
76,2025/4/15（週二） 22:16,22:16,485,485-0530080克里斯,四月小作文-辛耘3583,https://docs.google.com/document/d/1YsoypnClT0Cu3OvRBNjvg8WIM3adp2zA/edit?usp=drive_link&ouid=116098567997374387789&rtpof=true&sd=true
77,2025/4/16（週三） 14:17,14:17,418,418-0521235Dave,4月小作文-殖利率觀察,https://docs.google.com/document/d/1tSEagqW_lfirgA4f6-Lqh34sk7MDAnlEtKzdQNNXJd0/edit?usp=sharing
78,2025/4/16（週三） 15:04,15:04,538,538-0736538 ㄟ死笑笑笑,四月小作文-威強電3022,https://www.dropbox.com/scl/fi/g4lk58xnsbubc756fmjj4/.pdf?rlkey=g5al89wt7pbmocez4uhtfm8su&dl=0
79,2025/4/16（週三） 15:17,15:17,539,539-0727848威少,四月小作文-元大零息超長美債00969B,https://docs.google.com/file/d/1O0JYC01PEZ3d-I4pagiOSbku-rqkTRgy/edit?usp=docslist_api&filetype=msword
80,2025/4/16（週三） 16:16,16:16,537,537-0525273momoju,四月小作文 : 虹冠電3527,https://docs.google.com/document/d/1iGIYfSEbenT9vSb-uuYIFb_xqhTjRYRIZlL7osk__bY/edit?usp=sharing
81,2025/4/16（週三） 18:54,18:54,438,438-0549592 Ono,4月小作文-極端行情抄底策略,https://docs.google.com/document/d/1XYB5ytap6e77I67XHtKKbmkza2ijPM7_2yPoaoUfVYw/edit?usp=sharing
82,2025/4/17（週四） 04:55,04:55,510,510-0726629小平,,https://docs.google.com/document/d/1OE8YOK_MIQaLwPJGnJF7Y4pPu-x-yFX8Folg8CETBH4/edit?usp=drivesdk
83,2025/4/17（週四） 05:33,05:33,530,530-0728960Harris,,https://docs.google.com/document/d/1r0wLd8jfdhuTSNOh3tIb2122kbM5P0IZUSfysFs9s_k/edit?usp=sharing
84,2025/4/17（週四） 15:59,15:59,542,542-0198299Mark66,四月小作文-加權指數走勢規劃,https://docs.google.com/document/d/1ZLuwbAkriVf6pO8betVI1V-2tg9fpGElFNOJms56et0/edit?usp=sharing
85,2025/4/17（週四） 16:27,16:27,541,541-0724809狂暴羊,四月小作文-那指策略,https://docs.google.com/document/d/1ru3KlpQOu9ck9xdxNRT8T4XFgX70sVeADrWRCc_Z5gA/edit?tab=t.0
86,2025/4/17（週四） 21:08,21:08,543,543-0531953瘋狂吉娃娃,四月小作文-綠意2596,https://drive.google.com/file/d/1lrJdTxRVoODfoO01vv_ibk8r7BBGCZBa/view?usp=drive_link
87,2025/4/18（週五） 09:42,09:42,523,523-0725002 Eason,,https://www.youtube.com/live/jR2utRGAWhg?si=8ihHb_RDG5MLyq4A
88,2025/4/18（週五） 09:43,09:43,476,⚡️⭐️476-0689643  賢妻良母,四月小作文-記憶體波段持股,https://docs.google.com/document/d/1ZscQYmJXAmMAMynwPB2pIvN17mChFy7EnoYmqMHX924/edit?usp=sharing
89,2025/4/18（週五） 14:45,14:45,547,547-0729532蹦蹦熊,四月小作文-國統8936,https://docs.google.com/document/d/1uNb07Xmawx0jHOqH1sD-U0R8gflphZbjkOhmrU2bD80/edit?usp=sharing
90,2025/4/18（週五） 14:55,14:55,548,548-0737184 Ryan,四月小作文-全新光電 2455,https://1drv.ms/w/c/ad3e6cf15fb884b7/EdgivXHO1jNHtrsGyZ87EtEBLABOz9RLOloY3lh4oX3CZg?e=MAHfCc
91,2025/4/18（週五） 20:07,20:07,545,545-0735474阿隆,四月小作文-凌陽2401,https://drive.google.com/file/d/1ZNj4sqJUmheAuAY_U3fTOoiKOR04E0HD/view?usp=drivesdk
92,2025/4/18（週五） 22:37,22:37,425,425-0531458狄桃培,4月小作文-半白嫖youtube premium,https://docs.google.com/document/d/1Xre8YouhEPeIZqx5H7TIOPY2lmYf2gcL/edit
93,2025/4/19（週六） 00:12,00:12,510,510-0726629小平,,https://docs.google.com/document/d/1_eAG185sVBG6cF57tjd41Br0BNKQASzCWtDlpzTDdOA/edit?usp=drivesdk
94,2025/4/19（週六） 08:14,08:14,497,497-0724032鳳梨zong,四月小作文-大同（2371）,https://docs.google.com/document/d/13RFXtEJiKUm08J8pt4CL_W4XcynqAyvC/edit
95,2025/4/19（週六） 12:00,12:00,527,527-0726894耀,,https://docs.google.com/document/d/1z6KnohJEVlP1s01bHZ23XOoQA__B0rgF/edit?usp=drive_link&ouid=106899638007069152878&rtpof=true&sd=true
96,2025/4/21（週一） 00:54,00:54,528,528-0434571荒唐信,假日花一點時間 已這個策略在tragingView上回測  就目前波動大的行情來說回報率還不錯,https://docs.google.com/document/d/1YoeFVHdkD73aCOkKdgCtG7rWpz8oqhvpydAgPvyiveQ/edit?usp=sharing
97,2025/4/21（週一） 01:05,01:05,446,446-0597683   高鐵自由座,,https://docs.google.com/document/d/1uR6RdZFOvV9BCZW2RKy75Cl-0dawMVtrUKWNy-VGBv4/edit?usp=sharing
98,2025/4/21（週一） 09:04,09:04,544,544-0735623 星期六早上,四月小作文-台積電2330,https://docs.google.com/document/d/1qkaYyzsQsxdIbp5mr1RSEzGTw8RbHDQFSRfzBS5Mw-w/edit?tab=t.0
99,2025/4/21（週一） 09:04,09:04,546,546-0728449Douhua,,https://docs.google.com/document/d/1nqT3v0MYXK2orfouqZ2UdH4jWsx1xkXZR3f9lzxSyxQ/edit?usp=sharing
100,2025/4/21（週一） 14:03,14:03,092,092-0404475 Ernest💗,台新新光合併套利AI分析小作文,https://drive.google.com/file/d/156TV-dqCGflGt4CcuVulVbeyDHrJGFua/view?usp=sharing
101,2025/4/21（週一） 15:46,15:46,541,541-0724809狂暴羊,,https://www.bnext.com.tw/article/80218/shin-kong-and-taishin-financial-holding-merge
102,2025/4/21（週一） 16:40,16:40,550,⚡️⭐️550-0488718一度贊,四月小作文-凌群2453,https://docs.google.com/document/d/1v-bodzfjmlvvC2-84qqoWejBzwjY5bKzl95x-elNVBo/edit?tab=t.0
103,2025/4/21（週一） 16:57,16:57,549,549-0736240 秋風漸落,四月小作文-台積電 2330,https://docs.google.com/document/d/e/2PACX-1vR-Qx07DO8UT9aMvO7t-GzzdLlcPPz7BasvSKyv4xI3FgyMO5jlhepZAs1flGgKwm-X1pkKyaEe72OT/pub
104,2025/4/21（週一） 17:00,17:00,459,459-0677503登大狼小海龜拔拔,五月小作文-利用XQ選股中心 選出相對抗跌股,https://docs.google.com/document/d/1zDd3tjafwepWBlMGljOmRpCQ47a9AGla/edit?usp=drive_link&ouid=113713286884009637132&rtpof=true&sd=true
105,2025/4/21（週一） 17:42,17:42,540,540-0726483小林,四月小作文-台灣50(0050),https://docs.google.com/document/d/1Yxw7VID07624VVKMD9z34f0J5bBRX2FqS-udT2nUFRQ/edit?usp=sharing
106,2025/4/21（週一） 21:03,21:03,551,⚡️⭐️551-0689779QQ,四月小作文-穎崴6515,https://docs.google.com/document/d/1ubssqV4uCKzoe-g3aPJGuKK_KH1v9CLbSJ4F_T4Hlus/edit?usp=sharing
107,2025/4/21（週一） 21:52,21:52,308,308-0405403 Nick,四月小作文-大綜3147,https://docs.google.com/document/d/1JVEda4gA1HqUHC0PP0ri9JwZU67cSQsq/edit?usp=sharing&ouid=104803538302964277856&rtpof=true&sd=true
108,2025/4/22（週二） 11:00,11:00,420,420-0529143肥吱吱,四月小作文 -元大S&P日圓正二（00706L）,https://docs.google.com/document/d/1JcAKnXJvSaGVYheUV2rF1LKHbYVfoc0bk4HDXSoZorM/edit?tab=t.0
109,2025/4/22（週二） 14:36,14:36,553,553-0720939東東,四月小作文-東陽1319,https://docs.google.com/document/d/1qp2CUlDdoUbnbrkiTZnFcWrpdSROSOiTVvGGdRq1mxo/edit?usp=sharing
110,2025/4/22（週二） 14:40,14:40,554,554-0726975大平,四月小作文-欣巴巴9906,https://reurl.cc/bWDWMo
111,2025/4/22（週二） 17:45,17:45,510,510-0726629小平,,https://docs.google.com/document/d/1jSsHCQAaKFa67wpGbYcv_7IH_h31T6TIRNMwaVZjVZQ/edit?usp=drivesdk
112,2025/4/22（週二） 23:13,23:13,482,482-0696571 VT,四月小作文-SOFI,https://docs.google.com/document/d/18ajSohomjtW8S1iakA6HGFCwGTY-c6z58jvS9wEsdx8/edit?usp=sharing
113,2025/4/22（週二） 23:14,23:14,482,482-0696571 VT,四月小作文-CELH,https://docs.google.com/document/d/1aMgpN3Wsk5NHJaRXEARqrz5IGUMkdFgrkOPHkO5OvMo/edit?usp=sharing
114,2025/4/23（週三） 09:44,09:44,487,487-0489351 阿棋,四月小作文-週期性交易練習小作文,https://docs.google.com/document/d/1-_pV8S023P3o3lUIuueOJskuH4hP352eHE1T1jDo3OI/edit?usp=drivesdk
115,2025/4/23（週三） 11:27,11:27,146,146-0398675 ALAN,四月小作文-2912 統一超,https://drive.google.com/file/d/1GGbRwZ84yoO-EtezNXqb29nNtJC1kkyI/view?usp=sharing
116,2025/4/23（週三） 17:10,17:10,442,442-0435237Raymond,四月小作文-3705 永信,https://docs.google.com/document/d/1olZKK4q4Flrhfla4jOp-FBkkPhalMesZSUhlGG3Vxk8/edit?usp=sharing
117,2025/4/23（週三） 20:05,20:05,552,552-0738248小炫風,四月小作文-富邦台50（006208）,https://drive.google.com/file/d/1kcLIn6TQsq-1XX-FJRiNYiElCqZ-ZbMA/view?usp=drivesdk
118,2025/4/23（週三） 20:06,20:06,556,556-0738099Richard,四月小作文-零壹3029,https://docs.google.com/document/d/1n-IvFPkJfP0f3uPBB05QV0UTCO2iOglwLttfcNeQyK0/edit?usp=sharing
119,2025/4/24（週四） 01:13,01:13,465,465-0677707股市細漢,四月小作文-精誠6214,https://docs.google.com/document/d/19-bgUl3Uw_oFa1daMDzv24MPsMnbNK26/edit?usp=sharing&ouid=111186195430166003939&rtpof=true&sd=true
120,2025/4/24（週四） 12:57,12:57,546,546-0728449Douhua,5月小作文-白嫖 2TB google雲端以及gemini教學,https://docs.google.com/document/d/1Z7yh8Aidb-7fxQ5vvLDPcjdihpjsxDzAFzRdkRfJrXI/edit?usp=sharing
121,2025/4/24（週四） 12:59,12:59,529,529-0729189 書蟲,四月小作文-碩禾3691,https://drive.google.com/file/d/1SEfk-4C0ztG9i-OOY3LdaXxgqcFf2AL_/view?usp=sharing
122,2025/4/24（週四） 15:50,15:50,486,486-0707732貓貓,四月小作文 - 2330,https://docs.google.com/document/d/1tY-ox6L2dmgR9-LlB94UUQUUl4Xk8anfZGZopAuwr6E/edit?usp=sharing
123,2025/4/24（週四） 15:53,15:53,559,🔥⚡⭐559-0740236哩奧娜多,四月小作文-元太8069,https://docs.google.com/document/d/12qmIMS-ZjvCTI9tusByZo-5VJZJgrQLCbSeWnEXdwwI/edit?usp=sharing
124,2025/4/24（週四） 17:27,17:27,557,557-0727411威力力力,四月小作文-新應材4749,https://docs.google.com/document/d/1MnbmszGbbKecs9VCpMgpjxxLNW8f58xU/edit?usp=sharing&ouid=101047127970704222066&rtpof=true&sd=true
125,2025/4/24（週四） 23:09,23:09,379,379-0489759 迪諾,,https://docs.google.com/document/d/1q82ZVCZzMaG_PZ0Qof12vfkQHas0NGG-0L7p2Du-Tkg/edit?usp=drivesdk
